ID,VERB,DEFINITION,EXAMPLE,ARG0,FLAG0,ARG1,FLAG1,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG2,FLAG2,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG3,FLAG3,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG4,FLAG4,"NOM, ACC, DAT, ABL, INS, LOC, GEN",,,,,,,,,,,,,,,
TUR10-0296530,gıcıklamak,Cinsel istek uyandırmak,"Git de gözü onda gör, adamın yüreğini gıcıklıyor.","cinsel olarak uyaran kişi, şey",pag,cinsel olarak uyarılan kişi,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0169790,çirkinsemek,Bir şeyi çirkin bulmak,Bu elbiseyi öyle çirkinsediler ki alasım kaçtı.,çirkinseyen kişi,pag,çirkinsenen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0005920,açındırmak,Bir cismin yüzeyini açarak bir düzlem üzerine yaymak,Konileri açındırırız ama küreyi açındıramayız.,açındıran,pag,cisim,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0170270,çitmek,Tarağın dişlerini iplikle bağlayıp sıkıştırmak,Tarağı çitiyorum.,çiten kişi,pag,çitinen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0140910,ciltlemek,Kitaba cilt yapmak,Eski ansiklopediler ciltlendi.,ciltleyen kişi,pag,citlenen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0170220,çitlemek,"Kabak çekirdeği, ayçiçeği, fıstık vb.nin kabuklarını çıkararak yemek","Bir yandan ay çekirdeği çitler, bir yandan gözlük değiştire değiştire okurdu.",çitleyen kişi,pag,çitlenen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0170230,çitlemek,Çitle çevirmek,Köpeklere karşı bahçemizi çitledik.,çitleyen kişi,pag,çitlenen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0170260,çitmek,Kumaştaki deliği örerek kapamak,Ver de pantolonunu çitleyeyim.,çitleyen kişi,pag,çitlenen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0170450,çivilemek,Vurmak; öldürmek,Adamı tenhada çivilemişler.,çivileyen kişi,pag,çivilenen kişi,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0170620,çivitlemek,Çamaşırı çivitli suya sokup sarılığını gidermek,Eski gömleklerin yakalarını çivitleyebiliriz.,çivitleyen kişi,pag,çivitlenen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0170940,çizgilemek,"Çizgi çekmek, çizgi çizmek",Her gelen karikatürist nüktesini duvara çizgilemiş.,çizgileyen kişi,pag,çizgilenen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0171210,çiziktirmek,Baştan savma yazmak,"İmzasını çiziktirdi, ödemeyi yaptı gitti.",çiziktiren kişi,pag,çiziktirilen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0171400,çizmek,"Çizgiler hâlinde belirtmek, desenini yapmak",Bir gün yine onlara görünmeden krokiler çiziyordum.,çizen kişi,pag,çizilen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0191180,demek,Herhangi bir ses çıkarmak,"Küt dedi, düştü.","ses çıkaran şey, kişi",pag,çıkan ses,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0867090,yürütmek,İşinden veya bulunduğu yerden çıkarmak,,çıkaran kişi,pag,çıkardığı kişi,ppt,,çıkarılan yer,src,,,,,,,,,,,,,,,,,,,,,,
TUR10-0717440,sürmek,Yasal olmayan yolla piyasaya para çıkarmak,,para çıkaran kişi,pag,çıkardığı para,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-1039520,gucurdamak,Gucur diye kulak tırmalayıcı ve düzensiz ses çıkarmak,"Kürekler yağlanmamış olmalı. Deniz yükseldi mi gacırdıyor, sonra gucurduyor deniz alçalırken.",düzensiz ses çıkaran şey,pag,çıkardığı ses,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0162900,çıkarmak,Anlamak; ne olduğunu bilmek; sezmek,Ben bu metinden o ifadeyi çıkaramadım.,çıkaran kişi,pag,çıkarılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0162960,çıkarmak,"Sağlamak, elde etmek",,Çıkaran kişi,pag,çıkarılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0162980,çıkarmak,Sindirim yolundan dışarı atmak,Sonunda dayanamayıp o gece ne yediyse çıkardı.,çıkaran kişi,pag,çıkarılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0162930,çıkarmak,Döküntülü hastalığa tutulmak,Çocuk kızamık çıkardı.,Hastalık çıkaran kişi,pag,çıkarılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0639570,püskürtmek,Hızla ve savurtarak çıkarmak,Annesinin verdiği yemeği yemek istemeyen çocuk ağzındakileri püskürttü.,Çıkaran ,pag,Çıkartılan,ppt,,çıkarılan yer,dir,,,,,,,,,,,,,,,,,,,,,,
TUR10-0056880,atmak,"Çıkarmak, dışarıya vermek",Yabancı cisimleri vücut atar.,çıkartan,pag,çıkartılan,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0056950,atmak,Sıkıntı dolayısıyla giyilen bir şeyi çıkarmak,Sıcak basınca sırtındaki ceketi attı.,çıkartan kişi,pag,çıkartılan giysi,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0056960,atmak,Yazılı veya banda alınmış bir metinden bazı bölümleri çıkarmak,Editör bazı bölümleri attı.,"editör, çıkartan kişi",pag,çıkartılan kısımlar,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0749250,taslamak,"Taşçılıkta bir taşın kaba bölümlerini, çıkıntılarını almak",,taşın çıkıntılarını alan kişi,pag,çıkıntıları alınan taş,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0138420,cımbarlamak,Dokunmakta olan halının veya bezin kenarını cımbarla geriye almak,"Halıları cımbırla, sonra da çay koy.",cımbırlayan kişi,pag,cımbırlanan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0138480,cımbızlamak,Cımbızla yolmak,Kaşlarımı da biraz cımbızladım.,cımbızlayan kişi,pag,cımbızlanan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0138490,cımbızlamak,"Dokumacılıkta kumaş yüzlerindeki düğüm, çöp vb. maddeleri cımbızla temizlemek",Yeni gelen kumaşlar cımbızlanacak.,cımbızlayan kişi,pag,cımbızlanan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0165660,çırpmak,"Sulu yiyecekleri hızla ve sürekli olarak çatal, kaşık vb. ile karıştırmak",Kek yapmak için çatalla yumurtaları çırpmaya başladı.,çırpan kişi,pag,çırpılan şey,ppt,,kullanılan araç,com,,,,,,,,,,,,,,,,,,,,,,
TUR10-0165640,çırpmak,İki şeyi birbirine çarpmak,"Ali Bey ellerini çırptı, Elif Hanım, hepimize kahve diye seslendi.",çırpan kişi,pag,çırpılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0165790,çıtçıtlamak,Çıtçıtla tutturmak,Elbisenin sırtını çıtçıtlamayı unutmuşsun.,çıtçıtlayan,pag,çıtçıtlanan,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0166060,çıtlatmak,İş parçalarının bazı yerlerini oyup çıkarmadan makasla kesmek,Bu kumaşı çıtlatmalısın.,çıtlatan,pag,çıtlatılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0138980,cıvatalamak,Cıvata ile tutturmak,Kapıları cıvatalayacak mısın?,cıvatalayan kişi,pag,cıvatalanan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0139270,cıvıtmak,Bir işi yakışık almayacak bir duruma getirmek,"Şirketin ortamını cıvıtmayın, mesafenizi koruyun.",cıvıtan kişi,pag,cıvıtılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0172260,çoğaltmak,Çoğaltma makinesi kullanılarak sayısını artırmak; teksir etmek,Bu sınavı çoğaltıp sınıfa dağıtmamız lazım.,çoğaltan kişi,pag,çoğaltılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0172370,çoğullamak,Çoğul duruma getirmek,Bu örnekleri çoğullayalım.,çoğullayan kişi,pag,çoğullanılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0172420,çoğumsamak,Bir şeyin düşünülenden daha çok olduğu yargısına varmak; çok görmek; çok bulmak,Bana bu şirkette çalışmayı çoğumsuyorsunuz.,çoğumsayan kişi,pag,çoğumsanan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0824230,yağdırmak,"Çok sayıda ortaya koymak, sürmek","Çorbada tuzum bulunsun diyen para, eşya yağdırmıştı.",Çok sayıda ortaya koyan kişi,pag,Çok sayıda ortaya konan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0000290,abandırmak,Bir hayvanı yere çöktürmek,,yere çöktüren kişi,pag,çöktürülen hayvan,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0173310,çomaklamak,Çomakla vurmak,Çocuklar ebe olanı çomaklıyor.,çomaklayan kişi,pag,çomaklanan kişi,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0142290,contalamak,Conta koymak veya yerleştirmek,Makinanın kapağını contaladık.,contalayan kişi,pag,contalanan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0142330,coplamak,Copla vurmak; copla dövmek,Polis eylemcileri copladı.,coplayan kişi,pag,coplanan kişi,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0656360,sağmak,Yumak durumundaki bir şeyi çözüp açmak,İpek kozalarını sağmak.,çözen kişi,pag,çözdüğü şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0176030,çubuklamak,"Halı, kilim vb. örtülerin tozunu temizlemek veya şilte, pamuk gibi şeyleri kabartıp düzeltmek için üzerlerine değnekle vurmak",Annem halıları çubukluyor.,çubuklayan kişi,pag,çubuklanan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0176470,çullamak,Hayvana çul örtmek,Eşekleri çulladık yola çıkacağız.,çullayan kişi,pag,çullanan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0176480,çullamak,Fırtınalı denizde dalgalar güverteye su atmak,Dalgalar gemiyi çulladı.,çullayan şey,pag,çullanan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0142870,cumbalamak,Bir parçanın dar kenarındaki testere izi vb. girinti ve çıkıntıları düzeltmek,Ahşapları cumbaladık. Artık pürüzsüzler.,cumbalayan kişi,pag,cumbalanan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0142960,cumbuldatmak,Bir sıvıyı kabın içinde çalkalamak,Ayranı cumbuldatıp öyle servis ettiler.,cumbuldatan kişi,pag,cumbuldatılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0176790,çuvallamak,Başaramamak,Bu sınavdan da çuvalladık.,çuvallayan kişi,pag,çuvallanılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0177370,dadanmak,"Tadını aldığı, hoşlandığı bir şeyi sık sık istemek",Çocuk çikolataya pek dadandı.,dadanan kişi,pag,dadanılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0178370,dağıtmak,Kurulu bir düzeni bozmak,Yurtdışına taşınacakları için evi dağıttılar.,dağıtan kişi,pag,dağıtılan şey,ppt,,dağıtılan kişi,dir,,,,,,,,,,,,,,,,,,,,,,
TUR10-0178320,dağıtmak,Herhangi bir şeyi ayrı ayrı kimselere vermek,Selamlar dağıtarak telaşsız ve yorgun bana doğru yürüyordu.,dağıtan kişi,pag,dağıtılan şey,ppt,,dağıtılan kişi,gol,,,,,,,,,,,,,,,,,,,,,,
TUR10-0178340,dağıtmak,Güçlü bir vuruşla büyük bir zarara yol açmak,"Sinirlenen müşteri, bir vuruşta vitrinde ne var ne yoksa dağıttı.",dağıtan kişi,pag,dağıtılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0843790,yaymak,Çevreye dağılmasına sebep olmak,Sıtmayı çevreye yayan sivrisineklerdir.,dağıtan kişi,pag,dağıttığı şey,ppt,,dağıtılan şey,dir,,,,,,,,,,,,,,,,,,,,,,
TUR10-0178540,dağlamak,Kızgın bir demirle hayvan derisine damga vurmak,Çiftlikteki bütün inekleri dağladılar.,dağlayan kişi,pag,dağlanan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0178570,dağlamak,Acısı yüreğine işlemek,Söylediği acı sözler yüreğimi dağladı.,dağlayan şey,pag,dağlanan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0290540,gelmek,"Bir şeye sonradan inanmak, doğruluğuna hak vermek; eğilim göstermek; kabul etmek",Dediğime geldiniz mi?,kabul eden kişi,pag,"daha önceden sunulan fikir, öneri",ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0042270,aralamak,"Bitkilerin fazla dal ve çubuklarını kesmek, seyrekleştirmek",Dut ağacının dallarını biraz aralarsan daha iyi meyve verir.,bahçıvan,pag,"dal, ağaç",ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0181040,dallamak,Budamak,,"budayan, budayıcı, bahçıvan",pag,"dal, ağaç, bitki",ppt,,"budama makası, budama gereci",com,,,,,,,,,,,,,,,,,,,,,,
TUR10-0182210,damgalamak,Birine yüz kızartıcı bir suç yüklemek,,"damgalayan kişi, hakim",pag,"damgalanan kişi, suçlu olduğu iddia edilen kişi, şüpheli",ppt,,"iddia, suç",com,,,,,,,,,,,,,,,,,,,,,,
TUR10-0182670,damlatmak,Damlalıkla ilaç koymak,Gözüme damla damlatır mısın?,damlatan kişi,pag,damlatılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0091400,belirlemek,"Bir kavramı, ayırıcı bir öge ekleyerek sınırlamak, kapsam bakımından daraltmak",Sen bu işte üstüne düşen kısımları belirle.,daraltan kişi,pag,daralan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0183760,daraltmak,Sayıca azaltmak,Bütçemizden dolayı çalışan sayımızı daraltıyoruz.,daraltan kişi,pag,daralan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0425550,kasmak,Daraltmak,,daraltan kişi,pag,daralttığı şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0183910,darbelemek,Yıkıma uğratmak,,"darbe yapan kişi, darbeleyen şey",pag,"darbe alan şey, kişi",ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0185420,dayamak,"Bir yerden, bir kimseden yararlanmak, güç almak",Kürekleri iskeleye dayayarak bütün hızıyla itti.,dayayan kişi,pag,dayanan şey,ppt,,"dayanan şeyin dayandığı yer, şey",dir,,,,,,,,,,,,,,,,,,,,,,
TUR10-0185430,dayamak,"Korkutmak için hızla, öfkeyle yaklaştırmak, uzatmak",Mektubu gözüne dayadı. Bıçağı göğsüne dayadı.,dayayan kişi,pag,dayanan şey,ppt,,"dayanan şeyin dayandığı yer, şey",dir,,,,,,,,,,,,,,,,,,,,,,
TUR10-0186070,dayatmak,Empoze etmek,"Bana fikirlerini dayatma, benim kendi fikirlerim var.",dayatan kişi,pag,dayatılan kişi,ppt,,dayatılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,
TUR10-0186050,dayatmak,Kendi istediğini yaptırmakta direnmek,"Ertesi gün dayattı, ben onu almam diye.",dayatan kişi,pag,dayatılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0186860,dedirmek,Demek zorunda bırakmak,Bana o kötü sözleri dedirdiler.,dediren kişi,pag,dedirilen şey,ppt,,dedirilen kişi,dir,,,,,,,,,,,,,,,,,,,,,,
TUR10-0859700,yontmak,Bir şeyi kendi görüşüne göre değerlendirmek,,değerlendiren kişi,pag,değerlendirdiği şey,ppt,,değerlendirdiği görüş,com,,,,,,,,,,,,,,,,,,,,,,
TUR10-0299190,gitmek,değerlendirmek; saymak; karşılamak,"Bu iş hoşuma gitmedi, tuhafıma gitti.","olay, durum, nese",pag,"değerlendiren kişinin zevki, fikri",ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0189010,değneklemek,Değnekle vurmak,Sıska eşeğini değnekleyen bir köylü.,değnekleyen kişi,pag,"değneklenen kişi, hayvan, şey",ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0821870,vurmak,Olduğundan başka biçimde görünmek,Yaptığı saçmalıkları deliliğe vuruyordu.,Deliliğe vuran kişi,pag,Deliliğe vurulan olay,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0190910,delmek,Delik duruma getirmek; delik açmak,Taşın göze dokunmadığını ve bir parmak aşağıda yanağı deldiğini gördü.,"delik açan kişi, şey",pag,delinen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0191340,demetlemek,"Demet yapmak, demet durumunda ayırıp bağlamak",,"demetleyen kişi, çiçekçi, manav",pag,"demetlenen şey, çiçek, ot, yeşil sebze",ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0191840,demirlemek,"Kapı ve pencerenin kol demirini takmak, kapatmak",Pencereleri demirledikten sonra içim rahatladı.,demirleyen kişi,pag,demir sürgüyle kapatılan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0261230,eyitmek,Demek,Kul Mustafa eydür coştum / Aşkın deryasına düştüm,diyen kişi,pag,denen şey,ppt,,denen kişi,dir,,,,,,,,,,,,,,,,,,,,,,
TUR10-0789930,tutmak,Denetimi ve yetkisi altına almak,,denetim altına alan kişi,pag,denetim altına aldığı şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0290580,gelmek,Olmak; -e uğramak,Felç gelmek. Başımıza bir bela geldi.,başa gelen şey,pag,deneyimleyen kişi,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0193340,dengelemek,Bir cismi güç katarak veya eksilterek denge durumuna getirmek,,"bir şeyi denge durumuna getiren kişi, şey, durum, olgu",pag,denge durumuna gelen şeyler,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0194730,denklemek,Denk duruma getirmek,"Emri alır almaz yatağı yorganı, bakırı, çamaşırı denkledi.","denk duruma getiren kişi, şey, durum, olgu",pag,"denkleşen şeyler, kişiler",ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0195860,derecelemek,Derecelere ayırmak,,"dereceleyen kişi, şey",pag,derecelenen şey,ppt,,"ölçü birimi, düzey, hiyerarşik ayrım",com,,,,,,,,,,,,,,,,,,,,,,
TUR10-0868290,yüzmek,Derisini çıkarmak; derisini soymak,,deri yüzen kişi,pag,derisini yüzdüğü şey,ppt,,deriyi yüzdüğü araç,com,,,,,,,,,,,,,,,,,,,,,,
TUR10-0196850,derlemek,Düzgün bir biçimde toplamak,,derleyen,pag,derlenen şeyler,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0821990,vurmak,Desteklemek; dayamak,Akşam olunca kapının desteğini vurduk.,Desteği dayayan kişi,pag,desteği dayanan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0789940,tutmak,Desteklemek; birinden yana çıkmak,,destekleyen kişi,pag,desteklediği şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0095540,beslemek,Maddi yardım yapmak; desteklemek,Biz iki üniversite öğrencisi besliyoruz.,destekleyen kişi,pag,desteklenen kişi,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0198690,destelemek,Deste durumuna getirmek; deste yapmak,,desteleyen kişi,pag,destelenen şeyler,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0854120,yıkmak,"İnsan, hayvan veya ağaç devirmek",,deviren kişi,pag,devirdiği şey,ppt,,devirdiği araç,com,,,,,,,,,,,,,,,,,,,,,,
TUR10-0864420,yuvarlamak,"Hızla düşürmek, devirmek",,deviren kişi,pag,devirdiği şey,ppt,,devrilen yer,loc,,,,,,,,,,,,,,,,,,,,,,
TUR10-0200030,devitmek,hareket durumuna getirmek,Arabayı devitemedim.,deviten kişi,pag,devitilen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0199960,devirmek,"Ayakta veya dik duran bir şeyi düşürmek, yatay duruma getirmek",Kedi kutuları devirdi.,deviren kişi ,pag,devrilen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0210760,ditmek,Elle çok küçük parçalara ayırmak,Haşlanan etleri soğuduktan sonra didiniz.,diden kişi,pag,didilen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0857170,yivlemek,Dikerek eklemek,,dikerek ekleyen kişi,pag,dikerek eklediği şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0080410,bastırmak,Bir kumaşın kenarını kıvırıp dikmek,Ceketin yakalarını yanlış bastırmışsın.,diken kişi,pag,dikilen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0204420,dikmek,Yetiştirmek için bir bitkiyi toprağa yerleştirmek,Boş toprağa bir koru dikseniz otuz yılda gölge verir.,"diken kişi, bahçıvan",pag,"dikilen şey, fide, fidan, ağaç",ppt,,"toprak, bahçe, orman",dir,,,,,,,,,,,,,,,,,,,,,,
TUR10-0253790,eslemek,Aldırış etmek; önem vermek,,dikkate alan kişi,pag,dikkate alınan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0688630,sırımak,Sağlam ve sıkıca dikmek,,diken kişi,pag,diktiği şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0205960,dilmek,Bir bütünü ince ve yassı parçalara ayırarak kesmek,Şimdi bu elemanları ince ince dileceğim.,dilen kişi,pag,dildiği şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0038450,anmak,Bir sözü ağzına almak,Benim yanımda bir daha o kişinin adını anmayacaksın.,dile getiren kişi,pag,dile getirilen söz,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0205450,dilendirmek,Dilenecek duruma getirmek,Bu yaşındasın hala anneni dilendiriyorsun.,dilendiren kişi,pag,dilendirilen kişi,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-1007180,diletmek,dilenme işini yaptırmak,,dileten kişi,pag,dilettiği kişi,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0205610,dilimlenmek,Dilimlere bölünmek veya ayrılmak,,dilimleyen kişi,pag,dilimlenen şey,ppt,,dilimleme aracı,com,,,,,,,,,,,,,,,,,,,,,,
TUR10-0206730,dinceltmek,"Canlılığını, dinçliğini, zindeliğini sağlamak",Bu macun beni dinceltti.,dincelten şey,pag,dinceltilen kişi,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0507080,lanetlemek,Dinden kovmak,,dinden kovan kişi,pag,dinden kovulan kişi,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0207410,dinlendirmek,Durulmaya bırakmak,Köpeği dinlendiriyoruz.,dinlendiren kişi,pag,dinlendirilen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0207430,dinlendirmek,"Yanan lamba, ateş vb.ni söndürmek",Lambaları ara sıra dinlendirin.,dinlendiren kişi,pag,dinlendirilen şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0207420,dinlendirmek,Tarlayı nadasa bırakmak,Tarlayı bu sene dinlendiriyoruz.,dinlendiren kişi,pag,dinlendirilen tarla,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0209370,dirseklemek,"Dirsekle vurmak, dirsekle itmek",Kalabalığı dirsekleyerek şoseye çıktım.,dirsek atan kişi,pag,dirsek yiyen kişi,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0211990,dizginlemek,Birinin aşırı davranışlarını önlemek,,dizginleyen kişi,pag,dizginlenen kişi,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0212440,dizmek,Yan yana veya üst üste sıralamak,"Odanın ortasına üç ayaklı masayı koymuş, etrafına sandalyeleri diziyordu.",dizen kişi,pag,dizilen şeyler,ppt,,dizilen yer,dir,,,,,,,,,,,,,,,,,,,,,,
TUR10-0212430,dizmek,"Bazı nesneleri iplik, tel vb.ne geçirmek","Ortada, hasırların üstünde yığılı tütün yapraklarının etrafında, ana, iki kız oturmuş tütün diziyorlardı.",dizen kişi,pag,dizilen şeyler,ppt,,"iplik, tel gibi cisimler",dir,,,,,,,,,,,,,,,,,,,,,,
TUR10-0880990,dizinlemek,Dizinini yapmak,,dizinleyen kşi,pag,dizinlediği şey,ppt,,dizinlediği alan,loc,,,,,,,,,,,,,,,,,,,,,,
TUR10-0201350,dırdırlanmak,Dırdır etmek,,dırdır eden kişi,pag,dırdırı çeken kişi,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0639490,püskürmek,Öfkeyi aniden dışarı vurmak,Yeniden yepyeni bir insan olmak için zaman zaman bir volkan hâliyle bir şeyler püskürüyordum.,Dışa vuran,pag,Dışa vurulan,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0212900,doğaçlamak,Bir metne dayanmadan içe doğduğu gibi konuşmak ve oynamak,,"doğaçlayan kişi, oyuncu, aktör, aktrist",pag,doğaçlanan sahne,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0212880,doğaçlamak,Birdenbire ve içine doğduğu gibi söylemek; irticalen dile getirmek,,doğaçlayan kişi,pag,doğaçlanan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0212890,doğaçlamak,"O anda şiir söylemek, irticalen şiir söylemek",,doğaçlayan kişi,pag,doğaçlanan şiir,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0445170,kesmek,"Bıçak, makas vb. bir araçla bir şeyi ikiye ayırmak, parçalamak, doğramak",,doğrayan kişi,pag,doğradığı şey,ppt,,doğradığı araç,com,,,,,,,,,,,,,,,,,,,,,,
TUR10-0213490,doğramak,Keserek parçalamak veya elle küçük parçalara ayırmak,,doğrayan kişi,pag,doğranan şey,ppt,,doğradığı araç,com,,,,,,,,,,,,,,,,,,,,,,
TUR10-0655820,sağlamak,Bir işlemin doğruluğunu ortaya koymak,İlkokulda bölme işlemi yaptıktan sonra bir de sağlardık.,Doğrulayan,pag,Doğrulanan,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0213810,doğrulamak,Bir önermenin doğruluğunu veya yanlışlığını belirlemek amacıyla olayları inceleyip araştırmak,,doğrulayan kişi,pag,doğrulanan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0213930,doğrultmak,Yanlıştan kurtarmak; düzeltmek,Kardeşini doğrultmak için yıllarını verdi.,doğrultan kişi,pag,doğrultulan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0213950,doğrultmak,Yön bulmak,Karşıki tepeye bakarak yolu doğrultup geldim.,Doğrultan kişi,pag,doğrultulan şey,ppt,,,,,,,,,,,,,,,,,,,,,,,,,
